method,metric,p1_seed_values,p2_seed_values,blockage_%,p1_value,p1_seed_std,p2_value,p2_seed_std,delta_pp,delta_seed_std
BL-AG,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AG,primary,123+456+789,123+456+789,20,78.016667,1.817125,80.450000,0.767210,-2.433333,2.035995
BL-AG,primary,123+456+789,123+456+789,40,65.411111,5.127766,70.888889,1.283694,-5.477778,4.442608
BL-AG,primary,123+456+789,123+456+789,60,57.788889,7.932464,65.611111,3.380267,-7.822222,5.811922
BL-AG,primary,123+456+789,123+456+789,80,50.977778,5.962250,59.316667,7.795850,-8.338889,4.020825
BL-AG,primary,123+456+789,123+456+789,100,45.850000,4.320719,53.883333,12.142636,-8.033333,9.134748
BL-AW,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AW,primary,123+456+789,123+456+789,20,97.994444,0.287389,98.183333,0.033334,-0.188889,0.277555
BL-AW,primary,123+456+789,123+456+789,40,97.894444,0.338433,97.911111,0.191727,-0.016667,0.367801
BL-AW,primary,123+456+789,123+456+789,60,97.083333,0.491031,97.461111,0.221944,-0.377778,0.342107
BL-AW,primary,123+456+789,123+456+789,80,96.894444,0.183585,97.305555,0.134715,-0.411111,0.050917
BL-AW,primary,123+456+789,123+456+789,100,97.038889,0.283497,97.361111,0.138778,-0.322222,0.211695
FT:freeze_cnn,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
FT:freeze_cnn,primary,123+456+789,123+456+789,20,96.016667,0.332916,96.466666,0.404145,-0.450000,0.275379
FT:freeze_cnn,primary,123+456+789,123+456+789,40,93.888889,0.571143,94.800000,0.447524,-0.911111,0.472679
FT:freeze_cnn,primary,123+456+789,123+456+789,60,92.461111,0.631650,93.372222,0.895410,-0.911111,1.471615
FT:freeze_cnn,primary,123+456+789,123+456+789,80,91.355555,0.807144,92.444445,1.165753,-1.088889,1.794616
FT:freeze_cnn,primary,123+456+789,123+456+789,100,90.061111,0.670061,91.894444,1.356602,-1.833333,1.648315
