method,metric,p1_seed_values,p2_seed_values,blockage_%,p1_value,p1_seed_std,p2_value,p2_seed_std,delta_pp,delta_seed_std
BL-AG,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AG,primary,123+456+789,123+456+789,20,93.544445,0.429901,88.194444,0.831720,5.350000,0.693421
BL-AG,primary,123+456+789,123+456+789,40,86.444444,0.034694,83.972222,0.854779,2.472222,0.820287
BL-AG,primary,123+456+789,123+456+789,60,78.661111,2.503571,84.166666,2.133268,-5.505555,2.926428
BL-AG,primary,123+456+789,123+456+789,80,71.794444,5.322707,83.311111,2.521592,-11.516667,5.674602
BL-AG,primary,123+456+789,123+456+789,100,65.727778,8.099594,80.833333,1.605806,-15.105556,8.503828
BL-AW,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
BL-AW,primary,123+456+789,123+456+789,20,98.377778,0.094770,98.538889,0.100462,-0.161111,0.183586
BL-AW,primary,123+456+789,123+456+789,40,98.194445,0.125093,98.322222,0.237073,-0.127777,0.283496
BL-AW,primary,123+456+789,123+456+789,60,98.088889,0.063099,97.933334,0.144338,0.155555,0.178211
BL-AW,primary,123+456+789,123+456+789,80,97.977778,0.050917,98.016667,0.216667,-0.038889,0.256219
BL-AW,primary,123+456+789,123+456+789,100,98.094444,0.138778,97.972222,0.277055,0.122222,0.185841
FT:freeze_cnn,primary,123+456+789,123+456+789,0,98.422222,0.117063,98.522222,0.143694,-0.100000,0.104083
FT:freeze_cnn,primary,123+456+789,123+456+789,20,97.288889,0.176646,97.316667,0.491878,-0.027778,0.487719
FT:freeze_cnn,primary,123+456+789,123+456+789,40,96.627778,0.205706,96.505556,0.442635,0.122222,0.442322
FT:freeze_cnn,primary,123+456+789,123+456+789,60,96.144444,0.362221,96.061111,0.318997,0.083333,0.497773
FT:freeze_cnn,primary,123+456+789,123+456+789,80,95.627778,0.546792,95.655555,0.317251,-0.027778,0.644708
FT:freeze_cnn,primary,123+456+789,123+456+789,100,95.455556,0.409720,95.011111,0.197437,0.444445,0.538861
