epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,1.013782,1.013782,0.000000,96.200000,96.500000,17.199684,71.783333,88.466667,93.600000,96.250000,71.783333,81.450000,87.466667,90.533333,88.466667,92.916667,95.500000,96.650000,93.600000,96.200000,97.683333,98.350000,96.250000,97.800000,98.833333,99.133333,0.992432,6.015916,71.283333,88.216667,93.683333,96.416667,71.283333,80.716667,86.866667,90.366667,88.216667,92.550000,95.150000,96.433333,93.683333,96.500000,97.950000,98.583333,96.416667,98.100000,98.783333,99.216667,1.054836,6.123791
2,0.733976,0.733976,0.000000,97.833333,97.800000,16.304929,74.500000,90.733333,95.800000,97.350000,74.500000,83.133333,88.900000,91.500000,90.733333,94.450000,96.583333,97.666667,95.800000,97.833333,98.700000,99.183333,97.350000,98.683333,99.283333,99.516667,0.884045,5.221091,73.650000,90.250000,95.616667,97.700000,73.666667,82.466667,88.283333,91.050000,90.266667,94.516667,96.716667,97.700000,95.616667,97.800000,98.750000,99.166667,97.700000,98.800000,99.250000,99.516667,0.931606,5.538007
3,0.676956,0.676956,0.000000,97.633333,97.800000,16.072138,75.783333,90.950000,95.516667,97.416667,75.783333,84.516667,89.800000,92.416667,90.950000,94.633333,96.666667,97.783333,95.516667,97.633333,98.600000,99.133333,97.416667,98.766667,99.416667,99.666667,0.809358,4.714281,75.450000,90.733333,95.683333,97.733333,75.466667,84.166667,89.300000,91.916667,90.733333,94.600000,96.966667,98.066667,95.683333,97.800000,98.833333,99.266667,97.733333,98.933333,99.350000,99.550000,0.858145,4.809639
4,0.649779,0.649779,0.000000,97.750000,97.800000,15.793806,77.650000,91.400000,95.833333,97.700000,77.650000,86.333333,91.100000,93.450000,91.400000,94.833333,96.800000,98.050000,95.833333,97.750000,98.716667,99.300000,97.700000,98.866667,99.416667,99.683333,0.703983,4.080217,77.116667,91.583333,95.766667,97.816667,77.133333,85.483333,90.200000,92.550000,91.583333,95.200000,97.283333,98.100000,95.766667,97.800000,98.716667,99.083333,97.816667,98.950000,99.316667,99.533333,0.787459,4.670065
5,0.623679,0.623679,0.000000,98.050000,98.166667,15.837934,76.816667,91.883333,96.183333,97.883333,76.816667,85.233333,90.066667,92.533333,91.883333,95.416667,97.383333,98.366667,96.183333,98.050000,99.000000,99.400000,97.883333,99.033333,99.550000,99.750000,0.773408,4.590655,77.550000,91.683333,96.283333,97.933333,77.566667,86.083333,90.366667,92.733333,91.683333,95.583333,97.350000,98.200000,96.283333,98.166667,98.933333,99.266667,97.933333,99.183333,99.533333,99.666667,0.788354,4.467938
6,0.603823,0.603823,0.000000,98.083333,98.133333,17.259028,77.416667,91.933333,96.266667,97.966667,77.416667,85.850000,90.950000,93.566667,91.933333,95.500000,97.150000,98.150000,96.266667,98.083333,98.933333,99.400000,97.966667,98.966667,99.550000,99.800000,0.679223,4.084211,77.866667,91.983333,96.066667,97.966667,77.866667,86.700000,91.066667,93.266667,91.983333,95.650000,97.516667,98.266667,96.066667,98.133333,98.933333,99.200000,97.966667,99.166667,99.533333,99.683333,0.708393,4.059900
7,0.601228,0.601228,0.000000,98.200000,98.116667,17.733187,77.766667,92.350000,96.466667,98.100000,77.766667,86.400000,91.183333,93.500000,92.350000,95.733333,97.483333,98.333333,96.466667,98.200000,99.066667,99.383333,98.100000,99.033333,99.583333,99.733333,0.675766,4.070406,77.666667,92.016667,96.250000,98.066667,77.683333,85.983333,90.683333,93.133333,92.033333,95.666667,97.366667,98.200000,96.250000,98.116667,98.983333,99.233333,98.066667,99.183333,99.533333,99.683333,0.760156,4.259118
8,0.586722,0.586722,0.000000,98.083333,98.416667,17.577641,78.883333,92.700000,96.383333,97.983333,78.883333,87.300000,92.166667,94.233333,92.700000,95.850000,97.550000,98.466667,96.383333,98.083333,99.116667,99.466667,97.983333,99.066667,99.566667,99.783333,0.604029,3.673433,79.200000,92.616667,96.516667,98.116667,79.216667,87.550000,91.750000,94.116667,92.616667,95.966667,97.800000,98.600000,96.516667,98.416667,99.083333,99.433333,98.116667,99.300000,99.566667,99.700000,0.637842,3.438502
9,0.574230,0.574230,0.000000,98.066667,98.266667,17.695797,77.550000,91.800000,96.383333,98.116667,77.550000,85.650000,90.483333,92.566667,91.800000,95.383333,97.233333,98.216667,96.383333,98.066667,98.966667,99.333333,98.116667,99.083333,99.500000,99.733333,0.757939,4.727319,78.350000,92.133333,96.616667,98.133333,78.350000,86.550000,90.600000,93.066667,92.150000,95.600000,97.250000,98.100000,96.616667,98.266667,98.983333,99.316667,98.133333,99.100000,99.500000,99.633333,0.723017,4.341603
10,0.561902,0.561902,0.000000,98.250000,98.216667,17.715472,80.050000,92.766667,96.566667,98.150000,80.050000,88.016667,92.233333,94.200000,92.766667,96.183333,97.650000,98.433333,96.566667,98.250000,99.050000,99.466667,98.150000,99.083333,99.533333,99.783333,0.586752,3.507800,79.316667,92.316667,96.366667,97.983333,79.316667,87.100000,91.166667,93.383333,92.316667,95.550000,97.400000,98.283333,96.366667,98.216667,99.016667,99.366667,97.983333,99.100000,99.383333,99.600000,0.692556,3.984784
