epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,1.626796,1.626796,0.000000,92.233333,92.550000,1.340878,58.700000,79.750000,88.200000,92.366667,58.700000,67.733333,74.766667,80.300000,79.750000,85.333333,89.000000,91.750000,88.200000,92.233333,94.483333,95.883333,92.366667,95.033333,96.466667,97.516667,1.998937,11.445022,59.433333,81.450000,89.083333,92.883333,59.450000,68.650000,75.550000,80.416667,81.466667,86.750000,89.966667,92.066667,89.083333,92.550000,94.533333,96.016667,92.883333,95.316667,96.616667,97.650000,1.946275,11.166216
2,0.916781,0.916781,0.000000,94.566667,94.416667,1.188053,66.833333,84.416667,91.650000,95.083333,66.833333,75.650000,81.800000,86.000000,84.416667,88.983333,92.283333,94.266667,91.650000,94.566667,96.533333,97.233333,95.083333,96.916667,97.966667,98.466667,1.497435,9.457707,67.800000,84.333333,91.533333,94.983333,67.816667,76.766667,82.500000,86.516667,84.333333,88.950000,91.950000,93.983333,91.533333,94.416667,96.033333,97.183333,94.983333,97.016667,97.933333,98.550000,1.483550,9.312590
3,0.807465,0.807465,0.000000,95.216667,95.333333,1.103377,70.200000,86.416667,92.466667,95.450000,70.200000,78.683333,84.183333,87.566667,86.416667,90.616667,93.466667,95.116667,92.466667,95.216667,96.750000,97.466667,95.450000,97.250000,98.166667,98.650000,1.341386,9.086243,70.133333,86.400000,92.600000,95.533333,70.150000,79.016667,84.500000,87.966667,86.400000,90.966667,93.416667,95.200000,92.600000,95.333333,96.700000,97.633333,95.533333,97.283333,98.250000,98.766667,1.314187,8.494386
4,0.741479,0.741479,0.000000,95.300000,95.583333,1.183824,69.833333,86.450000,92.550000,95.450000,69.833333,78.000000,83.616667,87.300000,86.450000,90.516667,93.316667,94.933333,92.550000,95.300000,96.866667,97.600000,95.450000,97.316667,98.283333,98.750000,1.382027,9.177863,70.250000,87.083333,93.016667,95.766667,70.266667,78.866667,84.200000,87.266667,87.083333,91.133333,93.783333,95.283333,93.016667,95.583333,96.933333,97.833333,95.766667,97.516667,98.350000,98.866667,1.371102,8.807398
5,0.701738,0.701738,0.000000,95.883333,95.583333,1.219235,70.300000,86.933333,93.283333,96.050000,70.300000,79.033333,84.866667,88.450000,86.933333,91.233333,94.183333,95.833333,93.283333,95.883333,97.466667,98.150000,96.050000,97.633333,98.516667,98.866667,1.271887,8.402718,70.466667,86.850000,92.900000,95.866667,70.466667,79.433333,85.150000,88.683333,86.850000,90.900000,93.616667,95.400000,92.900000,95.583333,97.000000,97.916667,95.866667,97.516667,98.350000,98.900000,1.268836,8.148484
6,0.671000,0.671000,0.000000,95.700000,95.900000,1.127527,71.433333,87.300000,93.133333,95.950000,71.433333,79.800000,85.233333,88.700000,87.300000,91.316667,94.083333,95.733333,93.133333,95.700000,97.266667,97.983333,95.950000,97.583333,98.566667,98.933333,1.216614,7.958874,72.083333,87.683333,93.383333,96.083333,72.100000,80.466667,85.300000,88.500000,87.683333,91.833333,94.283333,95.883333,93.383333,95.900000,97.216667,98.050000,96.083333,97.633333,98.416667,98.850000,1.252395,8.213684
7,0.654904,0.654904,0.000000,96.100000,95.983333,1.118072,70.650000,87.566667,93.533333,95.800000,70.650000,79.750000,85.283333,88.783333,87.566667,91.600000,94.383333,96.000000,93.533333,96.100000,97.516667,98.183333,95.800000,97.500000,98.450000,98.900000,1.196672,7.789461,71.233333,87.550000,93.200000,95.916667,71.250000,79.816667,85.433333,88.800000,87.550000,91.766667,94.233333,95.916667,93.200000,95.983333,97.233333,98.083333,95.916667,97.650000,98.383333,98.866667,1.244738,7.960975
8,0.645170,0.645170,0.000000,96.050000,96.033333,1.102371,71.133333,87.566667,93.483333,96.050000,71.133333,79.683333,84.983333,88.683333,87.566667,91.466667,94.016667,95.700000,93.483333,96.050000,97.466667,98.133333,96.050000,97.550000,98.500000,98.900000,1.239578,7.997714,70.966667,88.083333,93.483333,95.983333,70.983333,79.866667,85.083333,88.333333,88.083333,91.950000,94.416667,95.933333,93.483333,96.033333,97.400000,98.300000,95.983333,97.733333,98.500000,99.116667,1.285369,8.147894
9,0.630917,0.630917,0.000000,95.933333,96.116667,1.205096,72.266667,87.566667,93.433333,95.866667,72.266667,80.850000,86.116667,89.433333,87.566667,91.916667,94.600000,96.000000,93.433333,95.933333,97.550000,98.333333,95.866667,97.516667,98.566667,98.950000,1.171148,7.909248,71.566667,87.933333,93.416667,96.200000,71.566667,80.483333,85.683333,89.116667,87.933333,92.050000,94.533333,96.116667,93.416667,96.116667,97.433333,98.283333,96.200000,97.783333,98.583333,99.000000,1.235556,8.250872
10,0.638279,0.638279,0.000000,96.150000,96.133333,1.114458,72.016667,88.100000,93.816667,96.350000,72.016667,80.450000,85.866667,88.933333,88.100000,92.150000,94.800000,96.200000,93.816667,96.150000,97.733333,98.266667,96.350000,97.750000,98.566667,98.883333,1.212651,8.450061,72.633333,88.116667,93.583333,95.966667,72.650000,80.966667,85.833333,88.850000,88.116667,92.083333,94.383333,96.033333,93.583333,96.133333,97.333333,98.166667,95.966667,97.633333,98.466667,98.950000,1.255004,8.274414
