epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,3.914882,3.914882,0.000000,90.766667,91.000000,0.509302,53.933333,76.683333,85.783333,90.916667,53.933333,64.366667,71.483333,76.383333,76.683333,83.466667,88.016667,90.833333,85.783333,90.766667,93.800000,95.600000,90.916667,94.600000,96.666667,97.716667,2.548531,14.060027,55.033333,76.566667,86.133333,90.583333,55.033333,64.533333,71.900000,76.900000,76.566667,83.700000,88.116667,91.100000,86.133333,91.000000,93.800000,95.700000,90.583333,94.416667,96.350000,97.616667,2.540963,14.054250
2,1.857606,1.857606,0.000000,93.983333,93.383333,0.498277,58.133333,80.800000,89.600000,93.266667,58.133333,68.200000,74.300000,78.766667,80.800000,87.216667,91.033333,93.550000,89.600000,93.983333,96.150000,97.316667,93.266667,96.283333,97.916667,98.533333,2.265461,13.153077,59.433333,81.216667,89.200000,93.550000,59.433333,69.033333,75.766667,79.983333,81.216667,87.150000,90.650000,93.116667,89.200000,93.383333,95.400000,96.883333,93.550000,96.250000,97.600000,98.383333,2.183772,13.282254
3,1.306316,1.306316,0.000000,94.616667,94.583333,0.432748,60.600000,82.800000,91.016667,94.800000,60.600000,70.966667,76.516667,80.416667,82.800000,88.733333,92.066667,94.216667,91.016667,94.616667,96.683333,97.666667,94.800000,97.000000,98.350000,98.883333,2.083259,12.567832,61.733333,82.733333,91.000000,94.750000,61.733333,71.116667,77.400000,81.400000,82.733333,88.483333,91.683333,93.766667,91.000000,94.583333,96.333333,97.433333,94.750000,96.800000,97.900000,98.583333,2.029003,12.389321
4,1.073417,1.073417,0.000000,94.966667,95.133333,0.418441,62.500000,82.833333,91.466667,95.083333,62.500000,72.033333,77.716667,81.450000,82.833333,88.716667,92.283333,94.400000,91.466667,94.966667,96.900000,97.833333,95.083333,97.133333,98.350000,98.950000,1.988720,12.215451,62.683333,83.583333,92.000000,95.750000,62.683333,72.016667,78.183333,81.933333,83.583333,89.100000,92.283333,94.466667,92.000000,95.133333,96.800000,97.733333,95.750000,97.383333,98.366667,98.900000,1.963349,12.144297
5,0.959804,0.959804,0.000000,95.350000,95.600000,0.421884,63.483333,83.433333,91.983333,95.516667,63.483333,73.433333,79.300000,83.150000,83.433333,89.233333,92.566667,94.566667,91.983333,95.350000,97.050000,98.016667,95.516667,97.516667,98.633333,99.183333,1.843125,11.383754,63.633333,84.750000,92.616667,95.816667,63.633333,72.683333,79.150000,82.916667,84.750000,89.583333,92.616667,94.566667,92.616667,95.600000,97.100000,98.000000,95.816667,97.500000,98.350000,98.933333,1.812579,11.635846
6,0.869830,0.869830,0.000000,95.666667,95.683333,0.444788,63.950000,84.050000,92.483333,95.766667,63.950000,74.033333,79.450000,83.200000,84.050000,89.816667,93.116667,95.016667,92.483333,95.666667,97.400000,98.250000,95.766667,97.733333,98.766667,99.200000,1.768533,10.976799,64.733333,85.116667,92.933333,96.166667,64.733333,73.933333,80.000000,83.683333,85.116667,89.816667,92.783333,94.933333,92.933333,95.683333,97.216667,98.166667,96.166667,97.716667,98.533333,99.050000,1.674121,10.670387
7,0.810234,0.810234,0.000000,95.716667,95.800000,0.437250,64.933333,85.166667,92.566667,95.816667,64.933333,75.066667,80.383333,83.983333,85.166667,90.766667,93.733333,95.400000,92.566667,95.716667,97.283333,98.216667,95.816667,97.783333,98.800000,99.216667,1.738515,10.889486,65.800000,85.900000,92.866667,96.150000,65.800000,74.866667,80.616667,84.083333,85.900000,90.583333,93.383333,95.233333,92.866667,95.800000,97.350000,98.316667,96.150000,97.766667,98.650000,99.100000,1.692826,11.248195
8,0.773171,0.773171,0.000000,96.050000,96.133333,0.440761,65.716667,85.250000,93.166667,96.016667,65.716667,75.783333,81.116667,84.650000,85.250000,90.750000,93.716667,95.500000,93.166667,96.050000,97.500000,98.433333,96.016667,97.783333,98.783333,99.266667,1.631819,10.456820,66.950000,86.633333,93.383333,96.300000,66.950000,75.850000,81.600000,85.233333,86.633333,91.133333,93.833333,95.416667,93.383333,96.133333,97.516667,98.383333,96.300000,97.750000,98.550000,99.100000,1.583891,10.664859
9,0.733318,0.733318,0.000000,95.883333,96.133333,0.419370,66.700000,85.433333,93.100000,95.950000,66.700000,76.566667,81.616667,85.050000,85.433333,90.816667,93.716667,95.450000,93.100000,95.883333,97.450000,98.300000,95.950000,97.766667,98.716667,99.200000,1.623166,10.520754,66.950000,86.766667,93.350000,96.366667,66.950000,75.966667,81.583333,85.116667,86.766667,91.183333,93.966667,95.516667,93.350000,96.133333,97.566667,98.366667,96.366667,97.866667,98.683333,99.183333,1.612483,10.795844
10,0.705305,0.705305,0.000000,96.050000,96.050000,0.425048,65.883333,85.533333,93.066667,96.150000,65.883333,75.950000,81.083333,84.700000,85.533333,91.166667,94.000000,95.733333,93.066667,96.050000,97.533333,98.383333,96.150000,98.016667,98.950000,99.316667,1.644481,10.520754,66.816667,86.866667,93.566667,96.400000,66.816667,75.966667,81.583333,85.250000,86.866667,91.283333,93.916667,95.566667,93.566667,96.050000,97.400000,98.283333,96.400000,97.883333,98.633333,99.216667,1.583176,10.425029
11,0.689283,0.689283,0.000000,95.666667,96.083333,0.496058,65.766667,85.266667,92.683333,95.950000,65.766667,75.466667,80.683333,84.033333,85.266667,90.550000,93.200000,94.950000,92.683333,95.666667,97.233333,98.200000,95.950000,97.850000,98.766667,99.183333,1.786450,11.505315,66.600000,86.766667,93.450000,96.316667,66.600000,75.666667,81.216667,84.683333,86.766667,90.983333,93.766667,95.150000,93.450000,96.083333,97.533333,98.416667,96.316667,97.833333,98.683333,99.233333,1.704968,11.425379
