seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
456,MAX-SETB,none,0,0.000000,0,0,0,0,0,0.000000,0.007710,34.750000,33.733333,25.283333,25.283333,25.283333,25.283333,25.283333,34.750000,44.550000,54.500000,25.283333,34.750000,44.550000,54.500000,25.283333,34.750000,44.550000,54.500000,25.283333,34.750000,44.550000,54.500000,3.811783,12.719045,25.133333,25.133333,25.133333,25.133333,25.133333,33.733333,43.850000,53.416667,25.133333,33.733333,43.850000,53.416667,25.133333,33.733333,43.850000,53.416667,25.133333,33.733333,43.850000,53.416667,3.876012,12.584722
456,NN-ANGLE,none,0,0.000000,0,0,0,0,0,0.000000,0.012021,70.033333,69.216667,25.283333,42.833333,62.033333,66.516667,25.283333,34.750000,44.550000,54.500000,42.833333,51.500000,59.950000,67.383333,62.033333,70.033333,76.666667,82.150000,66.516667,73.650000,79.283333,84.250000,3.811783,12.719045,25.133333,42.316667,61.033333,65.550000,25.133333,33.733333,43.850000,53.416667,42.316667,50.533333,59.300000,66.500000,61.033333,69.216667,76.183333,81.600000,65.550000,72.966667,79.083333,83.766667,3.876012,12.584722
456,MAX-SETB,none,20,0.000000,0,0,0,0,0,0.000000,0.004386,12.850000,11.750000,6.966667,6.966667,6.966667,6.966667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.251440,14.635135,6.700000,6.700000,6.700000,6.700000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.408826,14.834613
456,NN-ANGLE,none,20,0.000000,0,0,0,0,0,0.000000,0.011983,45.050000,42.733333,6.966667,29.150000,38.016667,39.250000,6.966667,12.850000,20.233333,29.266667,29.150000,36.283333,43.700000,50.900000,38.016667,45.050000,51.983333,58.533333,39.250000,46.483333,53.383333,60.166667,6.251440,14.635135,6.700000,27.716667,35.466667,36.683333,6.700000,11.750000,18.766667,27.400000,27.716667,34.283333,41.816667,48.900000,35.466667,42.733333,50.033333,56.750000,36.683333,44.083333,51.650000,58.583333,6.408826,14.834613
456,MAX-SETB,none,40,0.000000,0,0,0,0,0,0.000000,0.004151,12.850000,11.750000,6.966667,6.966667,6.966667,6.966667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.254178,14.651986,6.700000,6.700000,6.700000,6.700000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.412078,14.845213
456,NN-ANGLE,none,40,0.000000,0,0,0,0,0,0.000000,0.011930,44.933333,42.566667,6.966667,29.033333,37.900000,39.133333,6.966667,12.850000,20.233333,29.266667,29.033333,36.166667,43.583333,50.783333,37.900000,44.933333,51.866667,58.416667,39.133333,46.366667,53.266667,60.050000,6.254178,14.651986,6.700000,27.550000,35.300000,36.533333,6.700000,11.750000,18.766667,27.400000,27.550000,34.116667,41.633333,48.700000,35.300000,42.566667,49.850000,56.550000,36.533333,43.933333,51.483333,58.400000,6.412078,14.845213
456,MAX-SETB,none,60,0.000000,0,0,0,0,0,0.000000,0.003847,12.850000,11.750000,6.966667,6.966667,6.966667,6.966667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.254178,14.651986,6.700000,6.700000,6.700000,6.700000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.412078,14.845213
456,NN-ANGLE,none,60,0.000000,0,0,0,0,0,0.000000,0.010833,44.933333,42.566667,6.966667,29.033333,37.900000,39.133333,6.966667,12.850000,20.233333,29.266667,29.033333,36.166667,43.583333,50.783333,37.900000,44.933333,51.866667,58.416667,39.133333,46.366667,53.266667,60.050000,6.254178,14.651986,6.700000,27.550000,35.300000,36.533333,6.700000,11.750000,18.766667,27.400000,27.550000,34.116667,41.633333,48.700000,35.300000,42.566667,49.850000,56.550000,36.533333,43.933333,51.483333,58.400000,6.412078,14.845213
456,MAX-SETB,none,80,0.000000,0,0,0,0,0,0.000000,0.003551,12.850000,11.750000,6.966667,6.966667,6.966667,6.966667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.966667,12.850000,20.233333,29.266667,6.254178,14.651986,6.700000,6.700000,6.700000,6.700000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.700000,11.750000,18.766667,27.400000,6.412078,14.845213
456,NN-ANGLE,none,80,0.000000,0,0,0,0,0,0.000000,0.012391,44.933333,42.566667,6.966667,29.033333,37.900000,39.133333,6.966667,12.850000,20.233333,29.266667,29.033333,36.166667,43.583333,50.783333,37.900000,44.933333,51.866667,58.416667,39.133333,46.366667,53.266667,60.050000,6.254178,14.651986,6.700000,27.550000,35.300000,36.533333,6.700000,11.750000,18.766667,27.400000,27.550000,34.116667,41.633333,48.700000,35.300000,42.566667,49.850000,56.550000,36.533333,43.933333,51.483333,58.400000,6.412078,14.845213
