epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,1.145927,1.145927,0.000000,95.416667,95.950000,16.771420,66.100000,85.150000,92.333333,95.766667,66.100000,76.100000,82.716667,86.716667,85.150000,90.500000,93.433333,95.183333,92.333333,95.416667,96.900000,97.733333,95.766667,97.633333,98.433333,98.800000,1.325708,7.644036,66.150000,85.616667,92.766667,95.866667,66.150000,76.333333,83.250000,87.400000,85.616667,90.583333,93.633333,95.700000,92.766667,95.950000,97.300000,98.233333,95.866667,97.750000,98.600000,99.150000,1.245890,6.996107
2,0.830950,0.830950,0.000000,96.533333,97.116667,16.563796,70.766667,87.900000,94.050000,96.633333,70.766667,80.466667,86.583333,89.766667,87.900000,92.600000,95.266667,96.583333,94.050000,96.533333,97.833333,98.483333,96.633333,98.150000,98.850000,99.233333,1.069471,6.093540,69.966667,88.616667,94.533333,96.866667,69.966667,80.400000,86.466667,89.783333,88.616667,93.300000,95.633333,97.116667,94.533333,97.116667,98.150000,98.816667,96.866667,98.400000,98.950000,99.400000,1.061671,5.895106
3,0.764782,0.764782,0.000000,97.116667,97.416667,16.789774,74.983333,90.016667,94.783333,97.066667,74.983333,83.716667,88.366667,90.933333,90.016667,94.050000,96.050000,97.233333,94.783333,97.116667,98.166667,98.716667,97.066667,98.516667,99.083333,99.416667,0.971213,5.830433,74.150000,90.483333,95.150000,97.433333,74.150000,83.716667,88.333333,90.916667,90.483333,94.650000,96.350000,97.600000,95.150000,97.416667,98.400000,98.916667,97.433333,98.583333,99.116667,99.450000,0.934183,5.620355
4,0.725676,0.725676,0.000000,97.150000,97.516667,16.610322,72.966667,89.233333,94.566667,96.933333,72.966667,82.483333,87.700000,90.783333,89.233333,94.066667,96.133333,97.366667,94.566667,97.150000,98.250000,98.800000,96.933333,98.483333,99.050000,99.316667,0.986601,5.729013,72.466667,90.033333,95.283333,97.233333,72.466667,82.300000,87.766667,90.616667,90.033333,94.450000,96.433333,97.650000,95.283333,97.516667,98.466667,99.033333,97.233333,98.633333,99.183333,99.566667,0.977117,5.567501
5,0.693452,0.693452,0.000000,97.633333,97.966667,16.867336,75.216667,90.816667,95.133333,97.250000,75.216667,84.200000,88.750000,91.133333,90.816667,94.900000,96.666667,97.633333,95.133333,97.633333,98.516667,98.983333,97.250000,98.750000,99.283333,99.466667,0.969936,5.843570,74.700000,90.866667,95.766667,97.400000,74.700000,84.000000,88.433333,91.066667,90.866667,94.983333,96.533333,97.700000,95.766667,97.966667,98.583333,99.033333,97.400000,98.666667,99.166667,99.516667,0.918778,5.544694
6,0.673491,0.673491,0.000000,97.550000,97.650000,16.729899,74.650000,90.400000,95.116667,97.216667,74.650000,83.950000,88.650000,91.383333,90.400000,94.416667,96.350000,97.433333,95.116667,97.550000,98.366667,98.883333,97.216667,98.616667,99.166667,99.450000,0.908501,5.288516,73.333333,90.116667,95.316667,97.216667,73.333333,83.050000,88.400000,91.416667,90.116667,94.566667,96.283333,97.500000,95.316667,97.650000,98.500000,99.100000,97.216667,98.766667,99.233333,99.533333,0.880544,5.098491
7,0.658610,0.658610,0.000000,97.700000,97.900000,16.821170,76.883333,91.016667,95.600000,97.500000,76.883333,85.433333,89.533333,92.033333,91.016667,95.016667,96.716667,97.666667,95.600000,97.700000,98.550000,98.966667,97.500000,98.650000,99.133333,99.366667,0.822885,4.806355,76.000000,91.516667,95.950000,97.600000,76.000000,84.916667,89.400000,91.950000,91.516667,95.150000,96.833333,97.766667,95.950000,97.900000,98.700000,99.100000,97.600000,98.750000,99.233333,99.450000,0.834989,4.943300
8,0.643872,0.643872,0.000000,97.666667,97.966667,16.795606,77.050000,91.483333,95.733333,97.450000,77.050000,85.816667,90.100000,92.366667,91.483333,95.250000,96.916667,97.866667,95.733333,97.666667,98.483333,98.966667,97.450000,98.716667,99.200000,99.483333,0.833119,4.753636,76.266667,91.933333,96.066667,97.900000,76.266667,85.066667,89.683333,92.000000,91.933333,95.783333,97.283333,98.116667,96.066667,97.966667,98.783333,99.133333,97.900000,98.950000,99.383333,99.616667,0.830730,4.626550
9,0.631805,0.631805,0.000000,97.616667,97.916667,16.767187,75.716667,90.883333,95.750000,97.433333,75.716667,84.683333,89.683333,92.383333,90.883333,94.850000,96.850000,97.766667,95.750000,97.616667,98.533333,98.983333,97.433333,98.616667,99.066667,99.366667,0.816995,4.469188,74.883333,91.383333,95.833333,97.733333,74.883333,84.066667,88.983333,92.016667,91.383333,95.116667,96.883333,97.966667,95.833333,97.916667,98.683333,99.083333,97.733333,98.750000,99.200000,99.500000,0.779624,4.489455
10,0.618414,0.618414,0.000000,97.866667,98.250000,16.650653,78.000000,91.933333,96.166667,97.916667,78.000000,86.633333,90.650000,92.816667,91.933333,95.333333,96.816667,97.750000,96.166667,97.866667,98.683333,99.133333,97.916667,98.900000,99.350000,99.583333,0.777470,4.552991,77.566667,92.200000,96.433333,98.100000,77.566667,86.250000,90.383333,92.650000,92.200000,95.683333,97.183333,98.066667,96.433333,98.250000,98.933333,99.283333,98.100000,99.066667,99.400000,99.616667,0.738306,4.375919
11,0.604402,0.604402,0.000000,97.433333,97.766667,16.644351,73.150000,89.600000,95.183333,97.233333,73.150000,82.650000,87.750000,91.100000,89.600000,93.866667,96.216667,97.400000,95.183333,97.433333,98.500000,98.966667,97.233333,98.516667,99.150000,99.416667,0.878992,4.828203,72.100000,90.416667,95.666667,97.666667,72.100000,81.950000,87.800000,91.433333,90.416667,94.516667,96.516667,97.750000,95.666667,97.766667,98.600000,99.066667,97.666667,98.866667,99.250000,99.500000,0.840614,4.662137
12,0.604180,0.604180,0.000000,97.783333,98.283333,16.631009,77.183333,91.300000,95.950000,97.583333,77.183333,86.350000,90.666667,92.883333,91.300000,95.033333,97.033333,97.866667,95.950000,97.783333,98.716667,99.150000,97.583333,98.800000,99.383333,99.616667,0.774233,4.270280,77.216667,92.066667,96.466667,98.016667,77.216667,86.350000,90.900000,93.183333,92.066667,95.750000,97.400000,98.216667,96.466667,98.283333,98.900000,99.233333,98.016667,99.066667,99.450000,99.633333,0.705873,4.190358
13,0.584509,0.584509,0.000000,97.766667,98.450000,16.703610,78.400000,91.783333,96.016667,97.666667,78.400000,86.766667,90.916667,93.033333,91.783333,95.250000,96.733333,97.633333,96.016667,97.766667,98.583333,99.000000,97.666667,98.750000,99.300000,99.516667,0.728530,4.191241,78.066667,92.483333,96.750000,98.133333,78.066667,86.783333,90.933333,92.983333,92.483333,95.916667,97.300000,98.083333,96.750000,98.450000,99.016667,99.300000,98.133333,99.150000,99.500000,99.633333,0.687652,4.261457
14,0.587587,0.587587,0.000000,97.983333,98.250000,16.612543,78.500000,92.683333,96.250000,97.750000,78.500000,86.933333,90.966667,93.133333,92.683333,95.866667,97.300000,98.050000,96.250000,97.983333,98.700000,99.083333,97.750000,98.816667,99.283333,99.550000,0.729643,4.191019,78.283333,92.250000,96.416667,98.166667,78.283333,86.450000,90.616667,92.983333,92.250000,95.800000,97.183333,98.166667,96.416667,98.250000,98.850000,99.333333,98.166667,99.066667,99.366667,99.600000,0.708436,4.224207
15,0.577586,0.577586,0.000000,97.850000,98.183333,16.626067,78.966667,91.983333,96.166667,97.766667,78.966667,87.300000,91.483333,93.466667,91.983333,95.550000,97.283333,98.083333,96.166667,97.850000,98.783333,99.200000,97.766667,98.750000,99.316667,99.550000,0.706136,4.038174,78.483333,92.233333,96.616667,98.000000,78.483333,86.950000,91.383333,93.683333,92.233333,95.800000,97.233333,98.016667,96.616667,98.183333,98.900000,99.266667,98.000000,98.933333,99.333333,99.583333,0.689115,3.934251
