seed,method,freeze,blockage_%,train_frac,train_samples,ft_epochs,selected_epoch,total_params,trainable_params,train_time_s,eval_time_s,val_acc_%,test_acc_%,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db,results_schema_version,job_path
789,BL-AG,none,0,1.000000,108000,0,0,82096,82096,306.555191,0.307348,98.450000,98.533333,78.483333,92.250000,96.750000,98.416667,78.500000,87.033333,90.816667,93.500000,92.250000,95.850000,97.266667,98.233333,96.750000,98.450000,99.100000,99.516667,98.416667,99.300000,99.600000,99.800000,0.655570,3.975434,78.616667,92.466667,96.600000,98.216667,78.616667,87.300000,91.566667,93.850000,92.466667,96.033333,97.500000,98.433333,96.600000,98.533333,99.250000,99.583333,98.216667,99.333333,99.600000,99.783333,0.671480,3.797315,v4.1,jobs/baseline/bl_ag_eval
789,BL-AG,none,20,1.000000,108000,0,0,82096,82096,306.555191,0.310834,91.300000,92.083333,61.216667,80.266667,87.066667,90.183333,61.216667,70.650000,77.750000,82.300000,80.266667,86.450000,90.716667,93.216667,87.066667,91.300000,94.250000,95.950000,90.183333,93.433333,95.716667,97.233333,1.876720,11.966313,61.400000,80.783333,88.050000,90.683333,61.416667,70.983333,77.950000,82.550000,80.783333,86.800000,91.150000,93.450000,88.050000,92.083333,94.883333,96.366667,90.683333,93.866667,96.250000,97.483333,1.916881,12.240081,v4.1,jobs/baseline/bl_ag_eval
789,BL-AG,none,40,1.000000,108000,0,0,82096,82096,306.555191,0.306285,85.766667,86.533333,50.733333,71.833333,80.166667,85.633333,50.733333,59.050000,65.850000,71.216667,71.833333,78.566667,83.600000,87.066667,80.166667,85.766667,89.783333,92.383333,85.633333,90.216667,93.333333,95.366667,3.271467,16.683949,51.166667,72.333333,81.066667,85.983333,51.183333,59.850000,67.233333,72.150000,72.333333,79.233333,84.366667,87.800000,81.066667,86.533333,90.416667,92.616667,85.983333,90.350000,93.433333,95.283333,3.194245,16.264000,v4.1,jobs/baseline/bl_ag_eval
789,BL-AG,none,60,1.000000,108000,0,0,82096,82096,306.555191,0.303075,78.933333,79.750000,43.616667,62.433333,72.633333,79.516667,43.616667,51.616667,58.283333,64.566667,62.433333,69.933333,75.933333,80.750000,72.633333,78.933333,83.933333,87.633333,79.516667,85.000000,89.083333,91.833333,3.873776,17.066239,43.466667,63.283333,73.316667,79.633333,43.483333,51.716667,59.333333,65.533333,63.283333,70.750000,76.866667,81.466667,73.316667,79.750000,84.516667,87.866667,79.633333,85.150000,89.183333,91.900000,3.881257,17.152645,v4.1,jobs/baseline/bl_ag_eval
789,BL-AG,none,80,1.000000,108000,0,0,82096,82096,306.555191,0.302909,70.950000,71.483333,38.616667,53.500000,64.083333,71.766667,38.616667,46.333333,52.866667,59.383333,53.500000,61.333333,67.900000,74.066667,64.083333,70.950000,76.733333,81.566667,71.766667,78.216667,82.950000,86.983333,4.376616,17.727343,37.516667,54.550000,64.350000,71.750000,37.533333,45.550000,53.316667,59.783333,54.550000,62.450000,69.316667,74.950000,64.350000,71.483333,77.516667,82.166667,71.750000,78.500000,83.633333,87.350000,4.490392,17.840870,v4.1,jobs/baseline/bl_ag_eval
789,BL-AG,none,100,1.000000,108000,0,0,82096,82096,306.555191,0.341940,62.950000,63.050000,35.333333,46.883333,55.283333,63.216667,35.333333,42.766667,49.133333,55.700000,46.883333,55.050000,61.750000,68.250000,55.283333,62.950000,69.300000,75.066667,63.216667,70.333333,76.016667,81.000000,4.833180,18.319624,34.633333,47.166667,55.133333,63.316667,34.650000,42.683333,50.133333,56.766667,47.166667,55.583333,62.916667,69.283333,55.133333,63.050000,69.916667,75.716667,63.316667,70.800000,76.866667,81.716667,4.905842,18.234443,v4.1,jobs/baseline/bl_ag_eval
789,BL-AW,none,0,1.000000,108000,0,9,82096,82096,306.729857,0.000000,98.450000,98.533333,78.483333,92.250000,96.750000,98.416667,78.500000,87.033333,90.816667,93.500000,92.250000,95.850000,97.266667,98.233333,96.750000,98.450000,99.100000,99.516667,98.416667,99.300000,99.600000,99.800000,0.655570,3.975434,78.616667,92.466667,96.600000,98.216667,78.616667,87.300000,91.566667,93.850000,92.466667,96.033333,97.500000,98.433333,96.600000,98.533333,99.250000,99.583333,98.216667,99.333333,99.600000,99.783333,0.671480,3.797315,v4.1,jobs/baseline/bl_aw_blockage_000
789,BL-AW,none,20,1.000000,108000,0,19,82096,82096,294.769502,0.000000,98.416667,98.300000,79.883333,93.250000,96.983333,98.583333,79.900000,88.466667,92.366667,94.866667,93.250000,96.416667,97.700000,98.666667,96.983333,98.416667,99.050000,99.466667,98.583333,99.333333,99.566667,99.800000,0.549184,3.101019,79.200000,93.100000,96.616667,98.183333,79.200000,87.983333,92.100000,94.466667,93.100000,96.300000,97.600000,98.416667,96.616667,98.300000,98.983333,99.433333,98.183333,99.200000,99.566667,99.766667,0.601132,3.397375,v4.1,jobs/baseline/bl_aw_blockage_020
789,BL-AW,none,40,1.000000,108000,0,20,82096,82096,294.991871,0.000000,98.066667,98.266667,78.483333,91.783333,96.400000,98.216667,78.500000,87.100000,91.250000,93.933333,91.783333,95.250000,97.000000,98.000000,96.400000,98.066667,98.883333,99.316667,98.216667,99.150000,99.466667,99.700000,0.659765,3.716509,78.733333,92.183333,96.483333,98.000000,78.750000,87.383333,91.233333,93.266667,92.183333,95.816667,97.400000,98.266667,96.483333,98.266667,99.050000,99.450000,98.000000,99.150000,99.466667,99.733333,0.717827,4.133922,v4.1,jobs/baseline/bl_aw_blockage_040
789,BL-AW,none,60,1.000000,108000,0,20,82096,82096,296.883988,0.000000,98.000000,98.033333,78.266667,91.916667,96.033333,98.083333,78.283333,86.783333,90.533333,93.316667,91.933333,95.483333,97.066667,97.983333,96.033333,98.000000,98.733333,99.200000,98.083333,99.083333,99.400000,99.616667,0.737146,4.192930,78.633333,92.133333,96.150000,98.000000,78.650000,87.033333,90.733333,92.883333,92.133333,95.716667,97.500000,98.300000,96.150000,98.033333,98.950000,99.416667,98.000000,99.150000,99.516667,99.716667,0.765197,4.472725,v4.1,jobs/baseline/bl_aw_blockage_060
