epoch,train_loss_total,train_loss_ce,train_loss_kpi,val_acc_%,test_acc_%,epoch_time_s,val_top1_%,val_top2_incl_%,val_top3_incl_%,val_top4_incl_%,val_top1_m0db_%,val_top1_m1db_%,val_top1_m2db_%,val_top1_m3db_%,val_top2_m0db_%,val_top2_m1db_%,val_top2_m2db_%,val_top2_m3db_%,val_top3_m0db_%,val_top3_m1db_%,val_top3_m2db_%,val_top3_m3db_%,val_top4_m0db_%,val_top4_m1db_%,val_top4_m2db_%,val_top4_m3db_%,val_avg_rsrp_loss_db,val_p95_rsrp_loss_db,test_top1_%,test_top2_incl_%,test_top3_incl_%,test_top4_incl_%,test_top1_m0db_%,test_top1_m1db_%,test_top1_m2db_%,test_top1_m3db_%,test_top2_m0db_%,test_top2_m1db_%,test_top2_m2db_%,test_top2_m3db_%,test_top3_m0db_%,test_top3_m1db_%,test_top3_m2db_%,test_top3_m3db_%,test_top4_m0db_%,test_top4_m1db_%,test_top4_m2db_%,test_top4_m3db_%,test_avg_rsrp_loss_db,test_p95_rsrp_loss_db
1,0.975363,0.975363,0.000000,96.283333,96.666667,14.819615,66.866667,86.500000,93.650000,96.800000,66.883333,76.483333,81.250000,84.900000,86.516667,91.083333,93.783333,95.533333,93.666667,96.283333,97.683333,98.483333,96.816667,98.216667,98.933333,99.300000,1.596367,10.405238,67.516667,86.200000,93.666667,96.400000,67.516667,76.983333,82.116667,85.433333,86.200000,91.300000,93.850000,95.216667,93.666667,96.666667,97.833333,98.450000,96.400000,98.100000,98.733333,99.083333,1.607958,10.969613
2,0.785794,0.785794,0.000000,97.066667,97.183333,15.073206,70.450000,88.783333,95.266667,97.433333,70.466667,79.100000,83.500000,86.483333,88.800000,92.883333,95.166667,96.333333,95.266667,97.066667,98.333333,98.883333,97.433333,98.483333,99.133333,99.416667,1.500285,10.603340,70.233333,89.183333,94.850000,97.216667,70.233333,79.166667,83.516667,86.366667,89.200000,93.100000,95.133333,96.250000,94.850000,97.183333,98.083333,98.666667,97.216667,98.633333,99.183333,99.383333,1.550686,11.474397
3,0.759214,0.759214,0.000000,97.250000,97.283333,15.393563,71.666667,88.633333,95.033333,97.433333,71.683333,80.000000,84.300000,87.066667,88.650000,92.700000,94.916667,96.166667,95.050000,97.250000,98.583333,99.016667,97.433333,98.683333,99.283333,99.550000,1.426152,9.933289,71.300000,89.033333,95.033333,97.400000,71.300000,79.950000,84.283333,87.050000,89.050000,93.000000,95.116667,96.216667,95.033333,97.283333,98.383333,98.883333,97.400000,98.716667,99.200000,99.450000,1.466322,10.878244
4,0.756904,0.756904,0.000000,97.250000,97.283333,15.801017,71.350000,89.033333,95.083333,97.466667,71.366667,79.966667,84.233333,86.983333,89.050000,92.866667,95.166667,96.416667,95.100000,97.250000,98.500000,98.950000,97.466667,98.700000,99.266667,99.533333,1.459256,10.293189,71.716667,89.400000,94.883333,97.200000,71.716667,80.266667,84.600000,87.250000,89.400000,93.400000,95.433333,96.433333,94.883333,97.283333,98.433333,98.933333,97.200000,98.550000,99.150000,99.383333,1.488003,11.194862
5,0.742380,0.742380,0.000000,97.333333,97.516667,17.348078,71.666667,89.616667,95.150000,97.583333,71.683333,80.350000,84.733333,87.416667,89.633333,93.350000,95.583333,96.650000,95.150000,97.333333,98.516667,98.916667,97.583333,98.633333,99.200000,99.466667,1.400525,10.148546,71.550000,89.716667,95.250000,97.500000,71.550000,80.433333,84.533333,87.183333,89.733333,93.566667,95.533333,96.583333,95.250000,97.516667,98.416667,98.966667,97.500000,98.666667,99.150000,99.433333,1.442039,10.752779
6,0.731595,0.731595,0.000000,97.333333,97.383333,17.516405,72.200000,89.433333,95.333333,97.566667,72.216667,80.533333,84.616667,87.450000,89.450000,93.050000,95.383333,96.666667,95.333333,97.333333,98.483333,98.983333,97.566667,98.666667,99.250000,99.500000,1.378742,9.859537,71.783333,89.500000,95.133333,97.450000,71.783333,80.500000,84.933333,87.816667,89.500000,93.400000,95.433333,96.466667,95.133333,97.383333,98.366667,98.833333,97.450000,98.733333,99.233333,99.433333,1.399042,10.363731
7,0.733065,0.733065,0.000000,97.266667,97.200000,16.998243,70.983333,88.750000,95.133333,97.600000,71.000000,79.316667,83.616667,86.116667,88.766667,92.966667,95.283333,96.516667,95.150000,97.266667,98.383333,98.933333,97.616667,98.816667,99.333333,99.616667,1.495422,10.273072,70.600000,88.666667,95.033333,97.483333,70.600000,79.316667,83.466667,86.300000,88.683333,93.100000,95.116667,96.183333,95.033333,97.200000,98.350000,98.816667,97.483333,98.833333,99.300000,99.533333,1.506443,10.902166
8,0.731277,0.731277,0.000000,97.000000,97.116667,17.024681,70.033333,88.533333,94.766667,97.233333,70.050000,79.366667,83.766667,87.150000,88.550000,92.600000,95.050000,96.566667,94.766667,97.000000,98.383333,98.883333,97.233333,98.483333,99.133333,99.433333,1.321272,8.469146,69.833333,88.100000,94.650000,96.900000,69.833333,79.200000,84.216667,87.533333,88.100000,92.500000,94.766667,96.200000,94.650000,97.116667,98.283333,98.900000,96.900000,98.533333,99.033333,99.250000,1.361723,9.094571
9,0.719205,0.719205,0.000000,97.266667,97.266667,17.961722,72.333333,89.750000,95.000000,97.650000,72.350000,80.900000,85.216667,88.233333,89.766667,93.666667,95.933333,97.200000,95.000000,97.266667,98.450000,98.883333,97.650000,98.600000,99.233333,99.516667,1.258175,8.382781,71.800000,89.066667,94.883333,97.266667,71.800000,80.616667,85.183333,88.116667,89.066667,93.283333,95.383333,96.400000,94.883333,97.266667,98.316667,98.833333,97.266667,98.783333,99.250000,99.466667,1.348398,9.890842
10,0.715147,0.715147,0.000000,97.333333,97.600000,17.720839,72.583333,89.866667,95.350000,97.733333,72.600000,80.666667,84.966667,87.400000,89.883333,93.783333,95.750000,96.833333,95.366667,97.333333,98.483333,98.916667,97.750000,98.733333,99.333333,99.583333,1.372481,9.703914,72.366667,89.283333,95.300000,97.500000,72.366667,80.733333,84.866667,87.633333,89.300000,93.550000,95.583333,96.716667,95.300000,97.600000,98.600000,99.116667,97.500000,98.883333,99.350000,99.566667,1.412977,10.599267
11,0.714777,0.714777,0.000000,97.450000,97.300000,17.937870,72.933333,90.050000,95.450000,97.700000,72.950000,81.283333,85.483333,88.166667,90.066667,93.750000,95.866667,97.016667,95.466667,97.450000,98.450000,98.950000,97.700000,98.666667,99.250000,99.550000,1.288567,8.991877,72.366667,89.533333,95.000000,97.583333,72.366667,80.850000,85.333333,88.083333,89.550000,93.583333,95.616667,96.733333,95.000000,97.300000,98.400000,98.950000,97.583333,98.966667,99.366667,99.566667,1.345907,10.116324
12,0.708706,0.708706,0.000000,97.116667,97.316667,17.806649,72.150000,89.466667,95.283333,97.500000,72.166667,80.216667,84.516667,87.300000,89.483333,93.283333,95.483333,96.800000,95.300000,97.116667,98.283333,98.800000,97.500000,98.533333,99.166667,99.466667,1.403090,9.829036,71.650000,89.083333,94.950000,97.216667,71.650000,80.450000,84.666667,87.533333,89.100000,93.300000,95.500000,96.616667,94.950000,97.316667,98.283333,98.833333,97.216667,98.783333,99.300000,99.516667,1.406811,10.365401
